Chr	First	Last	Sample	Sample group	Haplotype group	Total variants	Genotyped variants	Score Acutifolius	Score Vulgaris	Score self group
Chr10	40961444	44142091	GCDT_014	Vulgaris	U	50	50	0	0	0
Chr10	40961444	44142091	GCDT_024	Vulgaris	U	50	50	-22	22	22
Chr10	40961444	44142091	GCDT_044	Vulgaris	U	50	50	4	-4	-4
Chr10	40961444	44142091	GCDT_046	Vulgaris	U	50	50	0	0	0
Chr10	40961444	44142091	GCDT_056	Vulgaris	U	50	50	-25	25	25
Chr10	40961444	44142091	GCDT_065	Vulgaris	U	50	50	-25	25	25
Chr10	40961444	44142091	GCDT_066	Vulgaris	U	50	50	-25	25	25
Chr10	40961444	44142091	GCDT_070	Vulgaris	U	50	48	0	0	0
Chr10	40961444	44142091	GCDT_085	Vulgaris	U	50	50	0	0	0
Chr10	40961444	44142091	GCDT_087	Vulgaris	U	50	50	0	0	0
Chr10	40961444	44142091	GCDT_090	Vulgaris	U	50	49	1	-1	-1
Chr10	40961444	44142091	GCDT_096	Vulgaris	U	50	49	1	-1	-1
Chr10	40961444	44142091	GCDT_246	Vulgaris	U	50	42	-14	14	14
Chr11	297556	3433284	GCDT_114	Vulgaris	U	50	48	2	-2	-2
Chr11	297556	3433284	GCDT_124	Vulgaris	U	50	46	-5	5	5
Chr11	297556	3433284	GCDT_127	Vulgaris	U	50	47	3	-3	-3
Chr11	297556	3433284	GCDT_128	Vulgaris	U	50	42	4	-4	-4
Chr11	297556	3433284	GCDT_130	Vulgaris	U	50	49	-15	15	15
Chr11	297556	3433284	GCDT_137	Vulgaris	U	50	46	-2	2	2
Chr11	297556	3433284	GCDT_139	Vulgaris	U	50	47	-1	1	1
Chr11	297556	3433284	GCDT_140	Vulgaris	U	50	47	-1	1	1
Chr11	297556	3433284	GCDT_142	Vulgaris	U	50	49	1	-1	-1
Chr11	297556	3433284	GCDT_143	Vulgaris	U	50	49	1	-1	-1
Chr11	297556	3433284	GCDT_145	Vulgaris	U	50	46	-2	2	2
Chr11	297556	3433284	GCDT_157	Vulgaris	U	50	42	-23	23	23
Chr11	297556	3433284	GCDT_231	Vulgaris	U	50	50	-16	16	16
Chr11	297556	3433284	GCDT_234	Vulgaris	U	50	43	-3	3	3
Chr11	297556	3433284	SMC_214	Vulgaris	U	50	47	-21	21	21
Chr11	297556	4588978	GCDT_233	Vulgaris	U	150	127	-25	25	25
Chr11	3484151	4305910	GCDT_294	Vulgaris	U	50	49	-29	29	29
Chr11	3484151	8548133	GCDT_231	Vulgaris	Acutifolius	350	350	350	-350	-350
Chr11	3484151	8548133	GCDT_234	Vulgaris	Acutifolius	350	337	337	-337	-337
Chr11	4305911	6257813	GCDT_137	Vulgaris	Acutifolius	250	238	231	-231	-231
Chr11	5036413	44467513	GCDT_233	Vulgaris	U	250	224	-5	5	5
Chr11	6490959	8548133	GCDT_230	Vulgaris	U	50	45	7	-7	-7
Chr11	6490959	44467513	GCDT_157	Vulgaris	U	100	88	-5	5	5
Chr11	8601329	44467513	GCDT_089	Vulgaris	U	50	50	-28	28	28
Chr11	8601329	44467513	GCDT_231	Vulgaris	U	50	50	24	-24	-24
Chr11	8601329	44467513	GCDT_234	Vulgaris	U	50	48	26	-26	-26
